0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:57:51 -0300] "GET /aluguel/faces/pages/recibos.xhtml;jsessionid=39790ED4AC85B7CD09F18170E6089A39 HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:05:20 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34320
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:05:28 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39397
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:05:30 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34325
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:09:26 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34332
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:09:28 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:09:36 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34327
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:09:37 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:10:06 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34263
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:10:09 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:25:17 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:27:30 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:27:51 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:27:52 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:28:15 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:28:23 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3382
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:29:34 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:31:05 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4101
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:32:42 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:33:00 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:33:42 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:36:09 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:36:19 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:36:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:36:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:36:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:37:35 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:37:36 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:38:19 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:38:20 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:14 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:16 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:16 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:40 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:41 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:41 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:41 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:47 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:48 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:48 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:49 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:39:49 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:41 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:42 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:42 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:56 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:57 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:58 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:58 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:40:59 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:41:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:41:56 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:43:28 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:43:55 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:44:26 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:44:45 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4600
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:46:40 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4652
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:46:58 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:48:01 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:48:28 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39341
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:48:32 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:48:32 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_flat_50_5c5c5c_40x100.png?ln=primefaces-sunny HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:48:44 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:49:55 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39341
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:49:57 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4533
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:50:48 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:52:39 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4594
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:53:17 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:53:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:54:19 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:55:07 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:55:08 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:55:08 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:56:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [20/Jul/2023:09:59:28 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:00:13 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4835
